number,category,name,lon,lat,open,close
0,restaurants,La Porchetta Pollo Bar,-0.1303,51.51363,720,0
1,restaurants,Fuckoffee,-0.08125,51.49938,420,1140
2,restaurants,Bodean's,-0.13711,51.46208,720,1380
3,restaurants,Royal China,-0.15525,51.51783,720,1380
4,restaurants,Princi,-0.13439,51.51386,480,0
5,restaurants,Sake No Hana,-0.13923,51.50668,1080,1380
6,restaurants,Pizza Metro Pizza,-0.16619,51.46092,1080,1380
7,restaurants,Poppies,-0.1439,51.54097,660,0
8,restaurants,Spuntino,-0.13381,51.51221,720,0
9,restaurants,Dumplings' Legend,-0.1316,51.51182,690,1410
10,restaurants,Wahaca,-0.13503,51.51855,720,1380
11,restaurants,Ye Olde Cheshire Cheese,-0.10732,51.51434,660,1380
12,restaurants,Portobello Ristorante Pizzeria,-0.19799,51.51016,1080,1380
13,restaurants,La Fromagerie,-0.15221,51.51986,630,1170
14,restaurants,Abu Zaad,-0.16448,51.51635,540,1380
15,restaurants,Arepa & Co,-0.08021,51.53732,600,1350
16,restaurants,Taberna do Mercado,-0.0747,51.51974,720,1320
17,restaurants,Friends of Ours,-0.0837,51.52912,480,1020
18,restaurants,Boqueria,-0.12714,51.45987,1020,1380
19,restaurants,Satay House,-0.16952,51.51763,1080,1380
20,restaurants,Hawksmoor Seven Dials,-0.12567,51.5135,1020,1350
21,restaurants,Cinnamon Kitchen,-0.07852,51.51693,1080,1380
22,restaurants,Beach Blanket Babylon,-0.19899,51.51432,720,0
23,restaurants,Bosphorus Kebabs,-0.17623,51.49296,660,1410
24,restaurants,Dans Le Noir,-0.1062,51.52281,1110,0
25,restaurants,Riverford at The Duke of Cambridge,-0.09871,51.53459,720,1410
26,restaurants,Granger & Co,-0.1978,51.51465,420,1380
27,restaurants,Mem & Laz,-0.10323,51.53769,720,1410
28,restaurants,Bageriet,-0.12618,51.51192,540,1140
29,restaurants,Kaffeine,-0.13717,51.51687,450,1080
30,restaurants,MerazCafe Karahi House,-0.07103,51.52019,660,1380
31,restaurants,Seashell of Lisson Grove,-0.16598,51.5228,720,1350
32,restaurants,Zayna,-0.15839,51.51495,1020,1350
33,restaurants,Tea and Tattle,-0.12682,51.51787,540,1110
34,restaurants,Wild Food Cafe,-0.12638,51.51457,540,1110
35,restaurants,Granger & Co,-0.1257,51.53258,420,1380
36,restaurants,Carluccio's,-0.12575,51.51159,480,1410
37,restaurants,Mildreds,-0.14459,51.54048,720,1380
38,restaurants,Honest Burgers,-0.07878,51.51768,690,1380
39,restaurants,Trader Vic's,-0.15057,51.50546,1020,60
40,restaurants,Lundenwic,-0.11862,51.5129,420,1080
41,restaurants,Wagamama,-0.07934,51.50865,720,1260
42,restaurants,Saporitalia,-0.2057,51.51709,720,1380
43,restaurants,Admiral Codrington,-0.16592,51.49381,690,1380
44,restaurants,Royal China,-0.18724,51.5105,720,1380
45,restaurants,The Roastery Cafe,-0.14781,51.46677,450,930
46,restaurants,Hoppers,-0.13175,51.51358,1050,1350
47,restaurants,The Cut,-0.10739,51.50306,480,0
48,restaurants,Karpo,-0.12383,51.52988,420,1350
49,restaurants,Cafe 338,-0.06321,51.52651,360,1050
50,restaurants,Byron,-0.10674,51.50303,690,1410
51,restaurants,Pilpel,-0.07728,51.51896,600,1260
52,restaurants,Pachamama,-0.15153,51.51718,1080,0
53,restaurants,J+A Café,-0.10102,51.52303,480,1080
54,restaurants,Le Peche Mignon,-0.10791,51.55005,450,1020
55,restaurants,Wright Brothers Borough Market,-0.09156,51.50549,720,1320
56,restaurants,Patara,-0.13076,51.5142,1050,1350
57,restaurants,Homeslice Neal's Yard,-0.12643,51.51444,720,1380
58,restaurants,Dragon Castle,-0.09857,51.4921,720,1380
59,restaurants,Flesh & Buns,-0.12624,51.51388,1020,1320
60,restaurants,Old Fountain,-0.0891,51.52707,660,1380
61,restaurants,Kettner's,-0.13041,51.51318,720,0
62,restaurants,The Pig and Butcher,-0.10683,51.53744,1020,1380
63,restaurants,Mimos Cafe,-0.17401,51.5151,420,1320
64,restaurants,Rabieng,-0.10279,51.53983,1050,1380
65,restaurants,Yashin Sushi,-0.19562,51.50076,1080,1380
66,restaurants,The Gallery,-0.19026,51.54653,720,0
67,restaurants,Gold Mine,-0.18749,51.5133,720,1380
68,restaurants,Bistrotheque,-0.05608,51.53412,1110,1350
69,restaurants,Pierino Pizza Pasta,-0.17408,51.49511,720,1410
70,restaurants,Arancina,-0.1975,51.50985,450,1350
71,restaurants,Yoshino,-0.13567,51.50958,720,1320
72,restaurants,Sagar,-0.12065,51.51256,720,1380
73,restaurants,Naru,-0.12595,51.51677,1050,1350
74,restaurants,Savoy Grill,-0.12073,51.51022,720,0
75,restaurants,Champor-Champor,-0.0854,51.50242,1080,1320
76,restaurants,Mango Indian,-0.09296,51.50496,720,1380
77,restaurants,Ichiryu,-0.12773,51.51673,720,1410
78,restaurants,Hot Stuff,-0.12642,51.47966,720,1410
79,restaurants,German Gymnasium,-0.12542,51.5324,480,0
80,restaurants,Bombay Brasserie,-0.18258,51.49394,1110,1410
81,restaurants,Albion,-0.07624,51.52414,480,1380
82,restaurants,Daylesford Organic,-0.1534,51.49065,480,1200
83,restaurants,Cinnamon Coffee Shop,-0.05716,51.50483,420,1080
84,restaurants,Savoir Faire,-0.12601,51.51719,720,1350
85,restaurants,Pizza Union,-0.07736,51.51753,660,0
86,restaurants,Museum Tavern,-0.12597,51.51821,660,1410
87,restaurants,Four Corners Cafe,-0.11354,51.50037,450,1110
88,restaurants,Antepliler,-0.09863,51.57806,720,1410
89,restaurants,Bugis Street Brasserie,-0.18393,51.49366,720,1350
90,restaurants,Thali,-0.18348,51.49093,1110,1410
91,restaurants,The Draft House,-0.07695,51.50287,720,1380
92,restaurants,J Sheekey,-0.12762,51.5109,720,0
93,restaurants,Ladurée,-0.12313,51.51184,480,1380
94,restaurants,Sen Viet,-0.11595,51.52909,1020,1380
95,restaurants,Kêu!,-0.08162,51.52661,480,1200
96,restaurants,Byron,-0.13376,51.51278,690,1410
97,restaurants,CASK Pub and Kitchen,-0.13754,51.49135,720,1380
98,restaurants,Little Bay West Hampstead,-0.19035,51.53879,720,0
99,restaurants,Bonnington Café,-0.12003,51.48462,1110,1350
100,restaurants,Grumbles,-0.13889,51.49114,1080,1380
101,restaurants,Busaba Eathai,-0.15119,51.51473,720,1380
102,restaurants,Maggie Jones's,-0.19099,51.50286,1080,1380
103,restaurants,Ethos,-0.1391,51.51638,480,1320
104,restaurants,The Jolly Butchers,-0.07335,51.56237,960,0
105,restaurants,Lowlander,-0.12241,51.51462,600,1320
106,restaurants,Ozone Coffee,-0.08667,51.52468,450,1260
107,restaurants,Villandry,-0.14314,51.52146,450,1350
108,restaurants,Haché,-0.08048,51.52665,720,1350
109,restaurants,Wahaca's Mexican Street Kitchen,-0.11639,51.50702,720,1380
110,restaurants,The Rainforest Cafe,-0.13363,51.51085,720,1320
111,restaurants,Chick n Sours,-0.07598,51.54153,720,1320
112,restaurants,Harrods' Tea Room,-0.16359,51.49923,600,1200
113,restaurants,Silk Road,-0.08961,51.47397,1020,1350
114,restaurants,The Castle,-0.207,51.50692,720,1380
115,restaurants,Alounak,-0.19102,51.51562,720,0
116,restaurants,Chiltern Firehouse,-0.15485,51.51871,1050,1350
117,restaurants,Pickle & Rye,-0.26669,51.4683,510,900
118,restaurants,C & R Cafe & Restaurant,-0.13253,51.51117,720,1380
119,restaurants,Four Seasons,-0.18735,51.51257,720,1410
120,restaurants,Ffiona's Restaurant,-0.19278,51.50406,720,1410
121,restaurants,Best Mangal,-0.20741,51.49123,720,1410
122,restaurants,Big Easy,-0.12311,51.51067,720,1410
123,restaurants,The Ivy,-0.12801,51.51281,720,1410
124,restaurants,Selale,-0.09961,51.58314,480,120
125,restaurants,Zuma,-0.16315,51.50095,1080,1320
126,restaurants,Asakusa,-0.13828,51.53392,1080,1410
127,restaurants,Le Mercury,-0.10272,51.53976,720,60
128,restaurants,Ganapati,-0.07301,51.46965,720,60
129,restaurants,Rocca,-0.17656,51.49288,690,1410
130,restaurants,The Colonel Fawcett,-0.13601,51.5418,720,0
131,restaurants,Wahaca,-0.12454,51.51034,720,1380
132,restaurants,Brass Rail Salt Beef Bar,-0.15376,51.51452,570,1260
133,restaurants,CUT at 45 Park Lane,-0.15161,51.50639,1080,1380
134,restaurants,Apero Restaurant and Bar,-0.17535,51.49437,390,1350
135,restaurants,Chai Ki,-0.01786,51.50612,1050,1380
136,restaurants,St. Moritz Restaurant,-0.13504,51.51453,1080,1410
137,restaurants,Wong Kei Restaurant,-0.13242,51.51154,720,1410
138,restaurants,Wafflemeister,-0.1487,51.51443,600,0
139,restaurants,Nobu Berkeley St,-0.14345,51.50849,720,60
140,restaurants,Burger and Lobster,-0.09448,51.51367,720,1350
141,restaurants,The Dairy,-0.13959,51.46187,720,1350
142,restaurants,Daddy Donkey Mexican Grill,-0.10944,51.52061,660,900
143,restaurants,The Wilmington,-0.11009,51.52603,660,1380
144,restaurants,Burger and Shake,-0.12542,51.52501,720,1350
145,restaurants,ICCo,-0.13605,51.51955,420,1380
146,restaurants,Hoxton Grill,-0.08273,51.52548,420,0
147,restaurants,Mike's Café,-0.20565,51.51586,600,1140
148,restaurants,The Warrington Hotel,-0.18308,51.52726,660,1380
149,restaurants,Efes,-0.05848,51.51466,600,0
150,restaurants,Sushi Surprise,-0.08106,51.52337,1020,1260
151,restaurants,Star Kebab House,-0.19469,51.49326,690,180
152,restaurants,The English Restaurant,-0.0766,51.51896,480,1380
153,restaurants,Osteria Basilico,-0.20589,51.51536,1110,1410
154,restaurants,Wahaca,-0.13377,51.51333,720,1380
155,restaurants,Wagamama,-0.14195,51.49678,690,1320
156,restaurants,Eat Tokyo,-0.13033,51.51382,720,1410
157,restaurants,Masala Zone Soho,-0.13767,51.51342,720,1380
158,restaurants,The Anchor and Hope,-0.10659,51.50347,1080,1350
159,restaurants,Greedy Cow Burgers & Steaks,-0.03456,51.52539,720,1350
160,restaurants,The Veggie Table,-0.09009,51.50509,720,1350
161,restaurants,Bibimbap,-0.131,51.51451,1080,1380
162,restaurants,L'Atelier de Joël Robuchon,-0.12844,51.51299,1050,1350
163,restaurants,Momo,-0.14033,51.51111,1110,1380
164,restaurants,NOPI,-0.13852,51.51162,1050,1350
165,restaurants,Electricity Showrooms,-0.0803,51.52747,720,0
166,restaurants,Mari Vanna,-0.16239,51.50181,540,60
167,restaurants,Kua 'Aina,-0.13915,51.51366,600,1320
168,restaurants,Good Earth,-0.16842,51.49685,720,1380
169,restaurants,The Drunken Monkey,-0.07819,51.52267,720,0
170,restaurants,Ravi Shankar,-0.13666,51.52708,720,1380
171,restaurants,Hi Sushi Salsa,-0.14677,51.54001,720,1350
172,restaurants,Chi Noodle,-0.10537,51.51351,1020,1350
173,restaurants,Gaucho,-0.17807,51.55742,720,1380
174,restaurants,Caravan Kings Cross,-0.12537,51.53578,480,1350
175,restaurants,Yoobi,-0.136,51.5129,690,1260
176,restaurants,Petek,-0.1096,51.56831,720,1380
177,restaurants,Ceviche Soho,-0.13149,51.51367,720,1410
178,restaurants,Rossopomodoro Covent Garden,-0.12727,51.51301,720,1380
179,restaurants,Monkey & Me,-0.15938,51.51971,1080,1380
180,restaurants,Caravan,-0.11012,51.52547,480,1350
181,restaurants,Nobu,-0.15004,51.50505,1080,1320
182,restaurants,The English Rose Cafe and Tea Shop,-0.14445,51.49806,420,1080
183,restaurants,Rasa N16,-0.07659,51.56198,1080,1350
184,restaurants,Pearl Liang,-0.18119,51.51926,720,1380
185,restaurants,Waxy O'Connor's,-0.13226,51.51073,720,1380
186,restaurants,Zafferano,-0.15774,51.4991,720,1380
187,restaurants,Natural Kitchen,-0.15228,51.52097,480,1200
188,restaurants,Garlic & Shots,-0.13153,51.51385,1020,0
189,restaurants,Fishworks,-0.15201,51.52016,720,1350
190,restaurants,Salt 'n Pepper,-0.13008,51.50941,720,1380
191,restaurants,Malabar Junction,-0.12922,51.51757,1080,1380
192,restaurants,Pizza Union,-0.11983,51.53105,660,0
193,restaurants,Social Eating House,-0.13639,51.51367,1080,1350
194,restaurants,Wagamama,-0.11748,51.50585,660,1380
195,restaurants,Giraffe,-0.1422,51.49391,480,1380
196,restaurants,Il Blandford's,-0.15575,51.52032,480,1380
197,restaurants,Pizzeria Pappagone,-0.11266,51.56941,1080,0
198,restaurants,Pret A Manger,-0.14946,51.51421,450,1260
199,restaurants,Clos Maggiore,-0.1247,51.51166,1020,1380
